instance,nodes,model,solver,num_vars,num_constraints,time,gap,objective
br17.atsp,17,mtz,cplex,289,274,0.11887979507446289,0.0,39.0
br17.atsp,17,mtz,gurobi,289,274,0.42838549613952637,0.0,39.0
br17.atsp,17,gg,cplex,544,323,0.4528532028198242,0.0,39.0
br17.atsp,17,gg,gurobi,544,323,0.09955501556396484,0.0,39.0
ftv33.atsp,34,mtz,cplex,1156,1124,0.7474870681762695,0.0,1286.0
ftv33.atsp,34,mtz,gurobi,1156,1124,0.5008001327514648,0.0,1286.0
ftv33.atsp,34,gg,cplex,2244,1224,0.9401125907897949,0.0,1286.0000000000073
ftv33.atsp,34,gg,gurobi,2244,1224,0.24313688278198242,0.0,1286.0
ftv35.atsp,36,mtz,cplex,1296,1262,0.48806142807006836,0.0,1473.0
ftv35.atsp,36,mtz,gurobi,1296,1262,0.9970064163208008,0.0,1473.0
ftv35.atsp,36,gg,cplex,2520,1368,0.9078218936920166,0.0,1473.0
ftv35.atsp,36,gg,gurobi,2520,1368,0.5645818710327148,0.0,1473.0
ftv38.atsp,39,mtz,cplex,1521,1484,0.6899707317352295,0.0,1530.0
ftv38.atsp,39,mtz,gurobi,1521,1484,1.357017993927002,0.0,1530.0
ftv38.atsp,39,gg,cplex,2964,1599,1.3661670684814453,0.0,1530.0
ftv38.atsp,39,gg,gurobi,2964,1599,0.8294332027435303,0.0,1530.0
ft53.atsp,53,mtz,cplex,2809,2758,1.2238900661468506,0.0,6905.0
ft53.atsp,53,mtz,gurobi,2809,2758,3.103537082672119,0.0,6905.0
ft53.atsp,53,gg,cplex,5512,2915,1.8799116611480713,0.0,6905.0
ft53.atsp,53,gg,gurobi,5512,2915,0.739882230758667,0.0,6905.0
ft70.atsp,70,mtz,cplex,4900,4832,548.9162483215332,0.009999499659446335,38673.0
ft70.atsp,70,mtz,gurobi,4900,4832,403.00641798973083,0.007757350089209526,38673.0
ft70.atsp,70,gg,cplex,9660,5040,2.02769136428833,0.007757350089190692,38673.0
ft70.atsp,70,gg,gurobi,9660,5040,1.1120707988739014,0.0,38673.0
ftv70.atsp,71,mtz,cplex,5041,4972,7.144801616668701,0.0,1950.0
ftv70.atsp,71,mtz,gurobi,5041,4972,3.588433265686035,0.0,1950.0
ftv70.atsp,71,gg,cplex,9940,5183,6.607417106628418,0.0,1950.0
ftv70.atsp,71,gg,gurobi,9940,5183,2.9069247245788574,0.0,1950.0
kro124p.atsp,100,mtz,cplex,10000,9902,6.965730428695679,0.009007059276199414,36230.0
kro124p.atsp,100,mtz,gurobi,10000,9902,18.012418508529663,0.0,36230.0
kro124p.atsp,100,gg,cplex,19800,10200,35.92298412322998,0.009426622665422617,36230.0
kro124p.atsp,100,gg,gurobi,19800,10200,6.699801683425903,0.0,36230.0
ftv170.atsp,171,mtz,cplex,29241,29072,27.159019470214844,0.0,2755.0
ftv170.atsp,171,mtz,gurobi,29241,29072,25.42107844352722,0.0,2755.0
ftv170.atsp,171,gg,cplex,58140,29583,254.85449075698853,0.0,2755.0
ftv170.atsp,171,gg,gurobi,58140,29583,21.71961498260498,0.0,2755.0
rbg323.atsp,323,mtz,cplex,104329,104008,63.27478766441345,0.0,1326.0
rbg323.atsp,323,mtz,gurobi,104329,104008,6.09125828742981,0.0,1326.0
rbg323.atsp,323,gg,cplex,208012,104975,41.955742835998535,0.0,1326.0
rbg323.atsp,323,gg,gurobi,208012,104975,43.37365794181824,0.0,1326.0
